TagNumber,Make,Year,Expired,TicketProcessing,TicketAll,Insurance,Horsepower,Torque,Length,Width,Weight,EngineSize,ABS,BreakAssist,GPS,CompanyNumber
611-WW,國瑞,201201,無,0,4,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,有,2434
615-WW,順益,201205,無,0,0,有,279.5kw(380ps),175kg-m,1220,250,17.0,12882,無,引擎排氣煞車,無,2434
630-WW,國瑞,201207,無,0,2,有,193.4kw(263.0ps),81.0kg-m,1220,250,16.0,7684,無,無,無,2434
709-QQ,MITSUBISHI,200206,無,1,11,有,235.4kw(320ps),125kg-m,1220,250,17.0,11945,無,無,無,2434
828-UU,百盛,201109,無,0,2,有,287kw,166kg-m,1219,250,17.0,10800,有,無,無,2434
868-NN,成運,200707,無,0,24,有,279.0KW,193.7kg-m,1220,250,17.0,11705,有,引擎排氣煞車,無,2434
943-EE,福方,200402,無,0,3,有,250.0kW,163.2kg-m,1220,250,17.0,10640,無,引擎減速器,無,2434
A5-015,國瑞,200203,無,0,4,有,220.6kw(300.0ps),110.0kg-m,1220,250,16.5,10520,無,無,無,2434
002-V8,MAN,200301,無,0,1,有,無資料,無資料,1220,250,17.0,12816,無,無,無,2460
073-YY,TOYOTA,201401,無,0,15,有,110.0kw,40.5kg-m,699,203,5.44,4009,有,引擎排氣煞車,有,2460
100-EE,TOYOTA,201005,無,1,3,有,110.0kw,40.5kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
148-TT,順益,201106,無,0,13,有,204.5kw(278ps),82kg-m,1199,250,15.5,7545,無,引擎排氣煞車,無,2460
227-ZZ,TOYOTA,201503,無,0,1,有,110kW/2700rpm,405123.6kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
265-HH,順益,200606,無,0,13,有,257.4kw(350ps),145kg-m,1220,250,17.0,11945,無,引擎排氣煞車,有,2460
551-BB,ISUZU,200305,無,0,10,有,130.5kw(175.0hp),47.9kg-m,805,235,8.7,4751,無,無,無,2460
595-ZZ,TOYOTA,201508,無,0,0,有,110kW/2700rpm,405123.6kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
667-ZZ,TOYOTA,201507,無,0,0,有,110kW/2700rpm,405123.6kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
668-ZZ,TOYOTA,201509,無,0,1,有,110kW/2700rpm,405123.6kg-m,699,204,5.44,4009,有,引擎排氣煞車,無,2460
